               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022623,            0.010512,           0.0091231,             0.94876,             0.98922,             0.98208,             0.87485,            0.012699,           0.0057006,           0.0038811,           0.0071125,           0.0071125,           0.0071125
                  37,            0.022579,            0.010497,           0.0085115,             0.95534,             0.98463,             0.98381,             0.87617,            0.012657,           0.0056612,           0.0037784,             0.00703,             0.00703,             0.00703
                  38,            0.022234,            0.010427,           0.0088123,             0.95299,             0.98414,             0.98349,             0.87416,            0.012665,           0.0056664,            0.003659,           0.0069475,           0.0069475,           0.0069475
                  39,            0.022327,            0.010433,           0.0085612,             0.96154,             0.98025,             0.98407,             0.88018,            0.012399,           0.0056109,           0.0036476,            0.006865,            0.006865,            0.006865
                  40,            0.021938,            0.010224,           0.0079947,             0.95311,             0.98794,             0.98287,             0.87957,             0.01251,           0.0056305,           0.0035426,           0.0067825,           0.0067825,           0.0067825
                  41,            0.021608,            0.010149,           0.0079514,              0.9669,             0.97947,             0.98596,             0.88148,            0.012328,           0.0055523,           0.0034729,              0.0067,              0.0067,              0.0067
                  42,            0.021394,            0.010076,           0.0081091,             0.96384,              0.9828,             0.98559,             0.88569,            0.012065,            0.005438,           0.0033503,           0.0066175,           0.0066175,           0.0066175
                  43,            0.021309,            0.010038,           0.0079774,             0.95657,             0.98818,             0.98458,             0.88488,            0.011915,           0.0054415,           0.0032606,            0.006535,            0.006535,            0.006535
                  44,            0.021326,             0.01001,           0.0077571,             0.96196,             0.98428,             0.98561,             0.88337,            0.012069,           0.0054101,           0.0032484,           0.0064525,           0.0064525,           0.0064525
                  45,            0.020913,            0.010065,           0.0080215,             0.96215,             0.98358,             0.98569,             0.88357,            0.011945,           0.0054293,            0.003162,             0.00637,             0.00637,             0.00637
                  46,            0.021094,            0.010022,           0.0077754,             0.95919,             0.98542,             0.98473,             0.88545,            0.011804,            0.005412,           0.0031601,           0.0062875,           0.0062875,           0.0062875
                  47,            0.020731,           0.0099099,           0.0077265,             0.96424,             0.98037,             0.98545,             0.88737,            0.011701,           0.0053514,           0.0030951,            0.006205,            0.006205,            0.006205
                  48,            0.020857,           0.0098325,           0.0075188,             0.96198,             0.98478,             0.98544,             0.88683,            0.011707,           0.0053361,           0.0030642,           0.0061225,           0.0061225,           0.0061225
                  49,            0.020603,           0.0098025,           0.0072413,             0.96581,              0.9808,             0.98603,             0.88819,             0.01163,           0.0052941,            0.003009,             0.00604,             0.00604,             0.00604
                  50,            0.020386,           0.0097257,            0.007123,             0.96734,             0.97924,             0.98606,             0.88887,            0.011565,           0.0052774,           0.0029688,           0.0059575,           0.0059575,           0.0059575
                  51,            0.020279,           0.0096657,           0.0070273,             0.96236,             0.98362,             0.98572,             0.89254,            0.011373,           0.0052363,           0.0029249,            0.005875,            0.005875,            0.005875
                  52,            0.020169,            0.009695,           0.0071117,             0.96755,             0.97866,             0.98621,             0.89099,            0.011414,           0.0052323,           0.0028867,           0.0057925,           0.0057925,           0.0057925
                  53,            0.020084,           0.0095856,           0.0070816,             0.96847,             0.97924,              0.9866,             0.89142,            0.011362,           0.0051993,           0.0028375,             0.00571,             0.00571,             0.00571
                  54,            0.019984,            0.009657,           0.0071624,             0.96894,             0.98034,             0.98703,             0.89249,            0.011326,           0.0051566,           0.0027941,           0.0056275,           0.0056275,           0.0056275
                  55,            0.019713,           0.0095508,           0.0071284,              0.9669,             0.98196,             0.98691,             0.89459,             0.01122,           0.0051312,            0.002751,            0.005545,            0.005545,            0.005545
                  56,            0.019631,           0.0094337,            0.006782,             0.96818,             0.98108,             0.98687,             0.89577,            0.011142,           0.0051102,           0.0027215,           0.0054625,           0.0054625,           0.0054625
                  57,            0.019618,           0.0095041,           0.0066282,             0.96784,              0.9811,             0.98685,             0.89625,            0.011102,           0.0050962,           0.0026935,             0.00538,             0.00538,             0.00538
                  58,            0.019377,           0.0094249,           0.0065882,              0.9686,             0.98205,             0.98724,             0.89524,            0.011112,           0.0050821,           0.0026632,           0.0052975,           0.0052975,           0.0052975
                  59,            0.019128,           0.0093341,           0.0065468,             0.97055,             0.98157,             0.98711,             0.89458,            0.011124,           0.0050854,            0.002633,            0.005215,            0.005215,            0.005215
                  60,            0.019223,           0.0093044,           0.0063439,             0.96869,             0.98242,             0.98689,              0.8951,            0.011071,           0.0050715,           0.0026103,           0.0051325,           0.0051325,           0.0051325
                  61,            0.018897,           0.0092039,           0.0063094,             0.96972,             0.98126,             0.98704,             0.89568,            0.011015,           0.0050621,           0.0025852,             0.00505,             0.00505,             0.00505
                  62,              0.0186,           0.0091533,           0.0063451,             0.96977,             0.98125,             0.98712,             0.89641,             0.01096,           0.0050438,           0.0025498,           0.0049675,           0.0049675,           0.0049675
                  63,            0.018905,           0.0091966,            0.006304,             0.97007,             0.98096,             0.98717,             0.89835,            0.010872,           0.0050166,           0.0025311,            0.004885,            0.004885,            0.004885
                  64,            0.018659,            0.009067,            0.006341,             0.96832,             0.98263,             0.98706,             0.89858,            0.010853,           0.0050054,           0.0025129,           0.0048025,           0.0048025,           0.0048025
                  65,            0.018487,           0.0090579,           0.0061438,             0.96896,             0.98194,             0.98709,             0.89864,            0.010843,           0.0050001,           0.0024931,             0.00472,             0.00472,             0.00472
                  66,            0.018476,           0.0090778,           0.0061084,             0.96948,             0.98213,             0.98712,             0.90031,            0.010778,            0.004986,           0.0024701,           0.0046375,           0.0046375,           0.0046375
                  67,            0.018204,           0.0089968,           0.0059444,             0.96964,             0.98157,             0.98733,             0.90016,            0.010748,           0.0049727,           0.0024493,            0.004555,            0.004555,            0.004555
                  68,            0.018121,           0.0089209,            0.005914,             0.97137,             0.98092,             0.98758,              0.9017,            0.010698,           0.0049486,           0.0024264,           0.0044725,           0.0044725,           0.0044725
                  69,            0.018117,           0.0089203,           0.0058146,             0.97104,             0.98131,             0.98757,             0.90169,            0.010686,           0.0049394,           0.0024077,             0.00439,             0.00439,             0.00439
                  70,            0.017789,           0.0088898,           0.0060184,             0.97172,             0.98057,             0.98761,             0.90205,            0.010668,           0.0049281,           0.0023866,           0.0043075,           0.0043075,           0.0043075
                  71,            0.017699,           0.0088076,           0.0057315,             0.97204,             0.98063,              0.9876,             0.90206,            0.010663,           0.0049241,           0.0023681,            0.004225,            0.004225,            0.004225
                  72,            0.017611,           0.0087747,           0.0056897,              0.9718,             0.98037,             0.98766,             0.90249,            0.010644,           0.0049145,           0.0023527,           0.0041425,           0.0041425,           0.0041425
                  73,             0.01753,           0.0087754,           0.0056696,              0.9716,             0.98197,             0.98786,             0.90269,             0.01064,           0.0048982,           0.0023364,             0.00406,             0.00406,             0.00406
                  74,            0.017369,           0.0087861,           0.0056232,             0.97053,             0.98289,             0.98786,             0.90283,            0.010633,           0.0048938,           0.0023226,           0.0039775,           0.0039775,           0.0039775
                  75,            0.017213,           0.0086468,           0.0055595,             0.97247,             0.98126,             0.98794,              0.9027,            0.010631,           0.0048856,           0.0023079,            0.003895,            0.003895,            0.003895
                  76,            0.017167,           0.0086167,           0.0054358,             0.97298,             0.98079,               0.988,             0.90308,            0.010601,           0.0048738,           0.0022941,           0.0038125,           0.0038125,           0.0038125
                  77,            0.017044,           0.0085519,           0.0053891,             0.97347,             0.98134,             0.98809,             0.90352,             0.01059,           0.0048631,           0.0022798,             0.00373,             0.00373,             0.00373
                  78,            0.016819,           0.0085573,            0.005503,               0.974,             0.98102,             0.98813,             0.90313,            0.010581,           0.0048578,           0.0022657,           0.0036475,           0.0036475,           0.0036475
                  79,            0.016846,           0.0084822,           0.0052352,             0.97446,             0.98064,             0.98818,             0.90342,            0.010573,           0.0048523,           0.0022536,            0.003565,            0.003565,            0.003565
                  80,            0.016804,           0.0083726,           0.0052109,             0.97505,             0.98026,             0.98822,              0.9035,            0.010564,           0.0048465,           0.0022429,           0.0034825,           0.0034825,           0.0034825
                  81,            0.016405,           0.0082707,           0.0050326,             0.97506,             0.98026,             0.98824,             0.90368,             0.01055,           0.0048388,           0.0022304,              0.0034,              0.0034,              0.0034
                  82,             0.01641,           0.0083498,           0.0050545,             0.97442,             0.98107,             0.98826,             0.90396,            0.010536,           0.0048308,           0.0022183,           0.0033175,           0.0033175,           0.0033175
                  83,            0.016269,           0.0082852,           0.0049893,              0.9743,             0.98123,              0.9883,             0.90427,            0.010535,           0.0048229,           0.0022066,            0.003235,            0.003235,            0.003235
                  84,            0.016154,           0.0082698,           0.0050229,             0.97382,             0.98172,             0.98833,             0.90484,            0.010518,           0.0048159,            0.002195,           0.0031525,           0.0031525,           0.0031525
